930;-333;26;1974;146;432;-27;-1672;-1744;600;741;1038;-769;-750;-1362
945;-280;1;1653;217;326;-107;-1335;-1314;344;684;618;-854;-401;-323
941;-294;24;1649;382;402;71;-1215;-1560;244;384;848;-882;-383;-801
951;-265;21;1563;369;390;-59;-1120;-1352;268;454;780;-783;-430;-389
944;-283;-6;1487;340;284;-98;-1176;-989;268;365;589;-445;-404;-275
921;-357;29;1398;309;366;27;-1338;-890;156;437;460;-500;-652;-323
927;-331;11;1363;405;262;96;-1048;-818;252;200;671;-413;-320;-462
918;-360;-34;1439;269;279;41;-1321;-1059;308;508;595;-314;-517;-467
949;-268;12;1490;326;330;22;-1234;-1225;320;639;659;-503;-668;-547
944;-292;12;1428;390;259;-75;-1191;-799;241;530;568;-510;-616;-179
924;-340;-44;1370;446;95;-11;-1103;-970;319;389;179;-94;-555;-87
925;-334;-41;1275;280;82;-22;-1029;-838;156;288;242;-166;-399;-96
923;-354;-45;1307;298;134;-39;-1239;-763;340;475;289;-183;-710;-84
935;-311;-61;1464;377;85;-187;-1359;-984;297;478;225;-242;-695;-196
937;-312;-21;1255;287;158;60;-1580;-769;224;722;263;-185;-843;-204
