-952;399;-108;483;928;1420;-1022;-745;-1923;119;250;427;-312;-212;-348
-944;407;-143;258;875;1124;-986;-693;-1544;88;308;545;-276;-233;-312
-946;404;-126;366;848;1345;-995;-752;-1750;99;302;307;-241;-278;-350
-965;380;-44;296;643;745;-1042;-466;-1772;89;188;276;-181;-391;-191
-981;308;-125;378;782;834;-1093;-1097;-1889;144;213;285;-218;-639;-269
-981;331;-127;184;539;258;-1013;-711;-1741;97;324;302;-252;-409;-128
-975;333;-133;236;555;300;-1020;-474;-1605;89;136;247;-130;-336;-115
-972;311;-206;374;641;714;-1025;-489;-1698;46;211;208;-125;-249;-180
-970;326;-179;396;892;939;-1050;-608;-1724;118;232;322;-232;-298;-212
-979;293;-175;234;722;560;-1046;-704;-1694;68;228;248;-121;-283;-235
-987;297;-171;188;630;447;-1069;-758;-1631;41;197;212;-140;-293;-120
-974;223;-258;402;723;732;-1151;-505;-1735;83;196;338;-200;-423;-221
-981;288;-188;248;713;575;-1090;-812;-1710;83;206;236;-195;-460;-245
-987;286;-181;117;691;495;-1066;-630;-1704;35;204;244;-114;-275;-161
-966;302;-202;317;636;671;-1072;-513;-1787;59;247;251;-124;-306;-225
