24;232;-161;1472;952;516;-335;-2048;-2044;470;576;484;-525;-1032;-776
141;-234;73;1625;866;564;-364;-2048;-2044;634;682;431;-448;-902;-612
48;-143;105;1742;1129;678;-361;-2048;-2044;902;857;644;-689;-901;-664
566;-922;93;1897;1380;768;-288;-2048;-2044;629;712;492;-406;-865;-816
162;-316;184;1814;965;731;-310;-2048;-2044;578;1004;449;-588;-930;-1058
71;-218;57;1630;951;638;-326;-2048;-2044;653;762;465;-483;-1006;-810
38;-456;65;1256;971;598;-331;-2048;-2044;454;553;341;-358;-765;-690
-59;216;-171;1325;809;621;-199;-2048;-1993;553;535;408;-291;-951;-725
102;225;-579;1340;964;501;-356;-2048;-2044;520;524;565;-284;-1220;-671
-13;325;-177;1607;1232;569;-289;-2048;-2044;573;762;563;-408;-1000;-904
-46;-78;90;1523;983;589;-370;-2048;-2044;528;533;396;-293;-956;-644
59;-239;103;1497;922;609;-238;-2048;-2044;567;641;456;-359;-787;-658
-86;169;-52;1081;881;496;-276;-2048;-2044;636;575;358;-380;-854;-588
-105;229;-30;1517;1161;588;-237;-2048;-2044;631;635;428;-460;-1037;-749
-26;4;28;1465;1049;618;-333;-2048;-2044;510;544;478;-358;-1086;-762
