9,21,-911
9,21,-911
-119,-177,-783
-150,-192,-758
-278,-337,-723
-319,-273,-720
-383,-373,-803
-395,-439,-831
-439,-500,-961
-425,-494,-1077
-358,-518,-1181
-290,-583,-1286
-155,-695,-1376
-21,-747,-1446
2,-718,-1459
232,-801,-1444
232,-801,-1444
509,-1059,-1229
576,-1064,-1177
761,-1161,-990
796,-1161,-927
927,-1117,-758
936,-1084,-712
908,-950,-577
895,-899,-543
863,-730,-375
842,-701,-352
812,-756,-241
763,-696,-191
695,-508,-185
681,-377,-189
680,-387,-159
642,-454,-137
625,-479,-156
608,-401,-145
572,-246,-132
563,-175,-9
554,-337,147
573,-460,266
483,-485,523
402,-563,687
142,-969,677
-2047,-2047,-2047
-2020,-2047,-1885
1116,2048,351
1577,2048,-1089
-469,-1894,-754
10,-2047,-679
727,-583,-684
691,-2,-753
400,-375,-658
558,-911,-616
735,-1545,-745
392,-938,-717
425,-507,-739
453,-594,-693
439,-878,-634
429,-916,-616
426,-779,-606
371,-555,-623
390,-627,-617
418,-703,-602
413,-659,-592
424,-673,-608
459,-726,-636
469,-738,-646
465,-701,-652
454,-669,-625
451,-707,-624
450,-695,-620
448,-678,-629
448,-685,-629
444,-695,-632
447,-665,-635
446,-659,-630
453,-697,-625
455,-712,-627
445,-711,-619
448,-725,-617
448,-723,-631
440,-700,-634
450,-697,-623
452,-712,-624
