-429,-524,-765,2038,987,732,-2057,-1228,-1076,1941,1702,1549,-2154,-1451,-896
-41,-737,-857,2038,802,1290,-2057,-1868,-2044,1293,2611,2473,-3189,-1246,-1537
-33,-889,-817,2013,699,684,-2057,-1749,-1170,2054,1465,503,-2196,-1347,-563
-336,-972,-585,2038,595,992,-2057,-1634,-1319,1885,1141,1629,-2076,-1188,-871
-542,-685,-364,2038,472,1049,-2057,-1803,-1702,1217,2272,2543,-4095,-1247,-1803
-568,-540,-660,2027,695,1045,-2036,-1789,-1114,2037,1586,1132,-2066,-1410,-894
-540,-568,-669,2038,657,981,-2057,-1825,-1767,2026,1406,2748,-3304,-875,-1800
-586,-555,-646,2038,572,1185,-2026,-1654,-1492,1753,1281,2677,-3442,-1665,-1316
-515,-609,-738,2035,691,792,-2057,-1755,-2044,2020,1741,2656,-2661,-1066,-1923
-544,-484,-728,2038,669,924,-2057,-1919,-1454,2112,979,2284,-2292,-609,-1208
-571,-471,-721,2038,528,936,-2057,-1858,-1656,1590,2081,2131,-2014,-1303,-1460
-512,-411,-788,2038,646,1339,-2040,-1360,-1587,1879,1304,2926,-3472,-1442,-1737
-575,-441,-738,2038,575,808,-2057,-1657,-1315,2144,792,1413,-2547,-757,-939
-546,-445,-752,2038,527,677,-2057,-1711,-1504,2375,1400,1900,-2442,-634,-809
-572,-474,-704,2038,555,1134,-2057,-1738,-1979,1673,2203,3113,-3347,-1018,-1397
