565,-713,-392,2038,706,453,121,-2048,-1485,730,644,437,-1056,-1039,-421
570,-794,-235,2038,540,796,-52,-2048,-1435,615,230,524,-901,-571,-246
543,-799,-300,2038,658,735,24,-1977,-1598,437,253,230,-928,-507,-311
623,-732,-274,2038,669,942,-7,-2048,-1502,827,383,430,-1056,-1362,-467
607,-790,-75,2038,457,1123,-18,-2047,-1684,573,274,332,-1187,-657,-445
610,-739,-204,2038,417,1095,4,-2048,-1270,635,388,709,-852,-913,-347
633,-762,-92,2038,625,911,-46,-1924,-1413,709,512,253,-741,-738,-298
653,-730,-143,1982,452,784,3,-1834,-1495,486,349,333,-602,-724,-307
655,-704,-311,2038,444,836,-1,-2048,-1452,948,907,355,-966,-772,-485
648,-724,-211,2038,466,620,-76,-1856,-1501,565,339,208,-612,-559,-305
713,-618,-313,2038,512,656,168,-2048,-1749,596,385,478,-381,-879,-310
702,-629,-330,2038,562,302,-3,-1888,-1541,688,351,211,-524,-1108,-191
750,-559,-354,2038,542,316,28,-1949,-1563,615,527,214,-575,-520,-218
699,-692,-163,1983,590,658,-108,-1808,-1694,568,287,341,-437,-617,-150
669,-689,-137,2011,304,640,-118,-1680,-1542,540,198,153,-404,-503,-192
