116,-39,-1031
120,-77,-1066
35,-145,-1082
76,-92,-1071
-7,-29,-1103
-12,-4,-1159
6,2,-1228
-72,166,-1277
-73,397,-1300
-75,516,-1305
-139,727,-1542
-184,661,-1574
-192,518,-1642
-142,643,-1567
-117,571,-1519
-124,450,-1505
-23,248,-1455
93,169,-1401
94,70,-1308
201,67,-1255
204,-30,-1187
301,-142,-1019
323,-88,-990
372,-150,-839
395,-180,-788
442,-194,-610
450,-174,-585
462,-240,-517
499,-298,-394
539,-343,-274
633,-385,-142
692,-474,-19
764,-421,13
771,-382,57
890,-591,310
925,-668,342
1021,-691,400
1048,-633,400
1033,-406,313
1033,-406,313
1031,-246,170
1026,-154,85
1026,-88,37
1016,-39,-19
1034,15,-8
1021,-10,7
1034,4,52
1048,-18,52
1045,-20,50
1047,-58,32
1062,-61,44
1055,-103,20
1056,-85,-8
1052,-80,-22
1067,-73,-19
1056,-97,-28
