-150,-96,-1023
-25,-99,-1017
-138,-27,-1034
-150,-27,-1035
-88,-8,-1004
-155,-101,-1033
-178,48,-1093
-227,141,-1152
-277,184,-1253
-354,269,-1400
-446,427,-1537
-590,436,-1600
-614,482,-1592
-593,514,-1795
-607,434,-1967
-729,262,-2006
-614,242,-2029
-507,151,-1973
-468,45,-1927
-404,-371,-1785
-334,-459,-1750
-191,-610,-1263
-76,-689,-1047
50,-619,-1136
75,-577,-975
75,-613,-787
213,-634,-546
251,-599,-513
356,-451,-477
408,-391,-245
505,-318,-96
591,-148,-31
610,-73,8
640,-49,250
686,-19,323
732,-100,532
746,-164,546
763,-184,745
807,-125,871
898,12,786
922,35,622
927,56,434
929,206,323
930,275,297
998,278,270
1020,216,227
1016,204,233
1012,220,249
1061,230,233
1055,221,240
1021,239,218
1026,265,194
1031,278,159
987,317,111
974,311,100
996,291,148
994,251,183
994,228,189
1034,246,148
1024,269,159
1020,272,169
