-224,-202,-869
-305,-148,-855
-194,-256,-847
-152,-290,-847
27,-518,-908
183,-689,-1118
278,-801,-1334
279,-878,-1560
138,-980,-1752
-76,-988,-1885
-351,-895,-2041
-488,-636,-2047
-679,-368,-2047
-848,-54,-1976
-856,114,-1890
-903,201,-1661
-961,304,-1592
-912,423,-1388
-872,436,-1319
-879,325,-1107
-862,313,-1016
-813,283,-824
-794,335,-761
-719,364,-577
-691,274,-512
-547,132,-281
-467,128,-155
-401,115,-83
-350,-25,3
-294,-185,44
-207,-195,45
-134,-133,6
-136,-216,-54
-130,-324,-92
-137,-390,-76
-134,-461,-102
-174,-530,-348
-184,-577,-456
-185,-1227,-974
-208,-1525,-1145
-113,-1614,-1254
-52,-1783,-1517
73,-1576,-1790
96,-1374,-1901
58,-1281,-1962
-91,-1001,-2046
-124,-952,-2047
-350,-697,-2047
-511,-477,-2047
-659,-324,-2047
-787,-186,-2047
-929,40,-2020
-913,132,-1778
-909,95,-1562
-856,29,-1339
-825,5,-1234
-722,-51,-969
-641,-90,-803
-551,-121,-653
-434,-189,-555
-310,-237,-479
-238,-250,-462
-16,-361,-434
78,-390,-476
121,-397,-530
191,-396,-554
237,-404,-586
307,-404,-672
325,-292,-764
328,-299,-812
277,-318,-894
207,-316,-951
185,-286,-976
117,-290,-1011
90,-300,-1018
78,-315,-1011
76,-350,-992
114,-385,-1008
126,-358,-1021
165,-350,-1021
207,-352,-1048
