6,-55,-1020
-9,-204,-1060
114,-112,-1193
116,-44,-1350
54,-99,-1516
-11,-147,-1621
-23,-99,-1721
-118,-63,-1795
-182,-62,-1817
-306,-26,-1784
-332,47,-1741
-428,142,-1640
-499,219,-1534
-525,294,-1436
-590,353,-1345
-584,323,-1305
-701,396,-1090
-687,478,-1021
-665,490,-770
-592,378,-572
-559,286,-369
-505,288,-288
-409,156,-85
-371,-16,18
-297,-112,69
-221,-105,84
-178,-131,50
-162,-231,-7
-121,-393,-104
-39,-492,-217
-12,-532,-315
-18,-681,-459
29,-885,-607
77,-1018,-784
85,-1113,-972
116,-1174,-1202
183,-1209,-1411
224,-1192,-1624
230,-1181,-1795
164,-1123,-2008
129,-1072,-2047
71,-852,-2047
20,-836,-2047
-226,-566,-2047
-396,-305,-2047
-563,-207,-2047
-711,-48,-2047
-806,106,-2031
-835,203,-1865
-828,217,-1665
-807,162,-1458
-785,139,-1353
-709,93,-1046
-640,46,-880
-543,-8,-735
-442,-94,-590
-303,-212,-477
-233,-229,-452
-52,-219,-416
66,-297,-416
243,-343,-510
323,-312,-582
359,-332,-674
381,-306,-771
394,-265,-874
389,-244,-910
383,-210,-981
399,-186,-1038
385,-105,-1091
368,-111,-1107
359,-108,-1103
347,-74,-1098
336,-34,-1107
332,-30,-1082
344,-90,-1064
335,-96,-1055
309,-48,-1032
304,-77,-1024
