-2,-211,-999
74,-136,-956
-51,-172,-942
-74,-218,-883
3,-252,-773
-45,-274,-657
-77,-219,-579
-90,-241,-415
-116,-196,-377
-263,-46,-335
-381,100,-355
-522,201,-477
-766,327,-767
-766,327,-767
-1137,412,-1233
-1223,415,-1426
-1236,255,-1601
-1153,141,-1713
-1111,30,-1802
-1000,-50,-1903
-1002,-109,-1947
-943,-251,-2015
-905,-327,-2012
-767,-544,-2008
-767,-544,-2008
-617,-878,-1832
-544,-1014,-1713
-487,-1113,-1569
-461,-1117,-1442
-425,-1046,-1302
-360,-1030,-1082
-359,-1008,-979
-325,-887,-720
-308,-862,-645
-303,-738,-398
-291,-658,-323
-219,-442,-75
-198,-314,41
-170,-103,100
-177,13,131
-202,10,120
-241,38,79
-245,167,-39
-236,291,-111
-231,343,-134
-327,617,-418
-335,728,-532
-435,783,-790
-484,894,-1040
-480,857,-1205
-605,620,-1341
-647,510,-1476
-612,523,-1560
-444,492,-1776
-375,310,-1884
-262,249,-1970
-210,50,-2047
-239,-86,-2047
-245,-441,-1992
-190,-571,-1801
-90,-620,-1542
4,-602,-1285
33,-573,-1180
32,-452,-928
15,-406,-836
-27,-389,-781
-52,-348,-744
-64,-325,-745
-86,-259,-751
-93,-193,-792
-97,-76,-835
-69,-50,-860
-71,-48,-913
-75,-35,-949
-79,-14,-1000
-103,4,-1077
-101,17,-1110
-86,14,-1131
-86,17,-1135
-100,14,-1136
-99,4,-1121
-96,-7,-1097
-72,-20,-1076
-50,-63,-1048
-38,-86,-1037
-33,-76,-1035
-45,-109,-1032
-64,-95,-1032
-76,-110,-1021
-80,-107,-1016
